0,1,2
X1,X1,1
X216,X1,4
X10,X10,1
X122,X10,4
X100,X100,1
X429,X100,7
X1000,X1000,1
X260,X1000,2
X101,X101,1
X719,X101,2
X102,X102,1
X991,X102,10
X103,X103,1
X377,X103,9
X104,X104,1
X303,X104,1
X105,X105,1
X325,X105,3
X106,X106,1
X573,X106,8
X107,X107,1
X491,X107,6
X108,X108,1
X16,X108,3
X109,X109,1
X885,X109,8
X11,X11,1
X635,X11,6
X110,X110,1
X148,X110,9
X111,X111,1
X321,X111,3
X112,X112,1
X706,X112,7
X113,X113,1
X800,X113,9
X114,X114,1
X206,X114,4
X115,X115,1
X702,X115,3
X116,X116,1
X89,X116,8
X117,X117,1
X437,X117,1
X118,X118,1
X798,X118,3
X119,X119,1
X311,X119,10
X12,X12,1
X334,X12,8
X120,X120,1
X32,X120,2
X121,X121,1
X329,X121,9
X122,X122,1
X762,X122,1
X123,X123,1
X126,X123,10
X124,X124,1
X411,X124,6
X125,X125,1
X406,X125,9
X126,X126,1
X17,X126,4
X127,X127,1
X649,X127,1
X128,X128,1
X469,X128,9
X129,X129,1
X726,X129,4
X13,X13,1
X762,X13,8
X130,X130,1
X844,X130,1
X131,X131,1
X737,X131,5
X132,X132,1
X910,X132,8
X133,X133,1
X386,X133,4
X134,X134,1
X826,X134,6
X135,X135,1
X968,X135,1
X136,X136,1
X1,X136,9
X137,X137,1
X890,X137,6
X138,X138,1
X274,X138,5
X139,X139,1
X592,X139,3
X14,X14,1
X390,X14,9
X140,X140,1
X618,X140,6
X141,X141,1
X775,X141,2
X142,X142,1
X530,X142,8
X143,X143,1
X602,X143,4
X144,X144,1
X364,X144,9
X145,X145,1
X721,X145,7
X146,X146,1
X681,X146,1
X147,X147,1
X617,X147,10
X148,X148,1
X545,X148,2
X149,X149,1
X44,X149,10
X15,X15,1
X523,X15,1
X150,X150,1
X664,X150,4
X151,X151,1
X995,X151,4
X152,X152,1
X189,X152,6
X153,X153,1
X114,X153,5
X154,X154,1
X972,X154,2
X155,X155,1
X707,X155,3
X156,X156,1
X119,X156,3
X157,X157,1
X660,X157,1
X158,X158,1
X317,X158,4
X159,X159,1
X530,X159,7
X16,X16,1
X1000,X16,3
X160,X160,1
X634,X160,8
X161,X161,1
X165,X161,9
X162,X162,1
X137,X162,4
X163,X163,1
X403,X163,10
X164,X164,1
X951,X164,7
X165,X165,1
X134,X165,5
X166,X166,1
X337,X166,8
X167,X167,1
X539,X167,6
X168,X168,1
X192,X168,1
X169,X169,1
X42,X169,4
X17,X17,1
X821,X17,6
X170,X170,1
X846,X170,1
X171,X171,1
X763,X171,10
X172,X172,1
X757,X172,6
X173,X173,1
X284,X173,9
X174,X174,1
X479,X174,1
X175,X175,1
X133,X175,6
X176,X176,1
X559,X176,3
X177,X177,1
X339,X177,8
X178,X178,1
X373,X178,5
X179,X179,1
X338,X179,3
X18,X18,1
X645,X18,6
X180,X180,1
X383,X180,8
X181,X181,1
X430,X181,9
