0,1,2
X1,X1,1
X943,X1,2
X10,X10,1
X161,X10,1
X100,X100,1
X406,X100,7
X1000,X1000,1
X595,X1000,2
X101,X101,1
X974,X101,8
X102,X102,1
X314,X102,6
X103,X103,1
X912,X103,10
X104,X104,1
X515,X104,4
X105,X105,1
X856,X105,8
X106,X106,1
X863,X106,7
X107,X107,1
X603,X107,5
X108,X108,1
X922,X108,10
X109,X109,1
X920,X109,10
X11,X11,1
X904,X11,2
X110,X110,1
X194,X110,7
X111,X111,1
X360,X111,9
X112,X112,1
X875,X112,8
X113,X113,1
X991,X113,1
X114,X114,1
X97,X114,9
X115,X115,1
X732,X115,5
X116,X116,1
X911,X116,10
X117,X117,1
X780,X117,5
X118,X118,1
X51,X118,6
X119,X119,1
X247,X119,9
X12,X12,1
X7,X12,4
X120,X120,1
X116,X120,2
X121,X121,1
X642,X121,1
X122,X122,1
X897,X122,1
X123,X123,1
X608,X123,4
X124,X124,1
X596,X124,4
X125,X125,1
X166,X125,5
X126,X126,1
X132,X126,8
X127,X127,1
X272,X127,2
X128,X128,1
X938,X128,7
X129,X129,1
X618,X129,5
X13,X13,1
X960,X13,8
X130,X130,1
X449,X130,9
X131,X131,1
X802,X131,6
X132,X132,1
X919,X132,7
X133,X133,1
X309,X133,8
X134,X134,1
X644,X134,3
X135,X135,1
X392,X135,7
X136,X136,1
X489,X136,4
X137,X137,1
X711,X137,6
X138,X138,1
X547,X138,5
X139,X139,1
X417,X139,1
X14,X14,1
X695,X14,9
X140,X140,1
X901,X140,1
X141,X141,1
X463,X141,5
X142,X142,1
X670,X142,9
X143,X143,1
X128,X143,2
X144,X144,1
X965,X144,7
X145,X145,1
X922,X145,3
X146,X146,1
X600,X146,7
X147,X147,1
X955,X147,4
X148,X148,1
X769,X148,9
X149,X149,1
X633,X149,4
X15,X15,1
X699,X15,7
X150,X150,1
X469,X150,1
X151,X151,1
X299,X151,4
X152,X152,1
X685,X152,1
X153,X153,1
X730,X153,4
X154,X154,1
X908,X154,6
X155,X155,1
X248,X155,3
X156,X156,1
X162,X156,5
X157,X157,1
X704,X157,3
X158,X158,1
X299,X158,3
X159,X159,1
X756,X159,10
X16,X16,1
X506,X16,8
X160,X160,1
X499,X160,9
X161,X161,1
X107,X161,6
X162,X162,1
X532,X162,5
X163,X163,1
X801,X163,4
X164,X164,1
X522,X164,1
X165,X165,1
X664,X165,8
X166,X166,1
X17,X166,7
X167,X167,1
X748,X167,4
X168,X168,1
X464,X168,5
X169,X169,1
X50,X169,1
X17,X17,1
X918,X17,4
X170,X170,1
X814,X170,4
X171,X171,1
X389,X171,1
X172,X172,1
X723,X172,10
X173,X173,1
X712,X173,2
X174,X174,1
X169,X174,5
X175,X175,1
