0,1,2
X1,X1,1
X635,X1,10
X10,X10,1
X535,X10,10
X100,X100,1
X123,X100,7
X1000,X1000,1
X733,X1000,3
X101,X101,1
X752,X101,3
X102,X102,1
X122,X102,6
X103,X103,1
X472,X103,6
X104,X104,1
X999,X104,9
X105,X105,1
X883,X105,1
X106,X106,1
X575,X106,5
X107,X107,1
X644,X107,4
X108,X108,1
X296,X108,2
X109,X109,1
X695,X109,3
X11,X11,1
X702,X11,7
X110,X110,1
X783,X110,1
X111,X111,1
X843,X111,9
X112,X112,1
X116,X112,10
X113,X113,1
X942,X113,2
X114,X114,1
X408,X114,6
X115,X115,1
X200,X115,10
X116,X116,1
X643,X116,10
X117,X117,1
X482,X117,10
X118,X118,1
X586,X118,6
X119,X119,1
X233,X119,9
X12,X12,1
X801,X12,8
X120,X120,1
X198,X120,4
X121,X121,1
X931,X121,9
X122,X122,1
X884,X122,5
X123,X123,1
X631,X123,7
X124,X124,1
X889,X124,9
X125,X125,1
X439,X125,2
X126,X126,1
X785,X126,1
X127,X127,1
X113,X127,7
X128,X128,1
X292,X128,7
X129,X129,1
X835,X129,3
X13,X13,1
X519,X13,5
X130,X130,1
X645,X130,9
X131,X131,1
X479,X131,6
X132,X132,1
X468,X132,5
X133,X133,1
X832,X133,2
X134,X134,1
X658,X134,9
X135,X135,1
X610,X135,2
X136,X136,1
X246,X136,1
X137,X137,1
X140,X137,2
X138,X138,1
X336,X138,1
X139,X139,1
X9,X139,8
X14,X14,1
X399,X14,9
X140,X140,1
X496,X140,4
X141,X141,1
X278,X141,10
X142,X142,1
X427,X142,1
X143,X143,1
X913,X143,8
X144,X144,1
X825,X144,5
X145,X145,1
X96,X145,2
X146,X146,1
X212,X146,6
X147,X147,1
X141,X147,10
X148,X148,1
X229,X148,2
X149,X149,1
X125,X149,7
X15,X15,1
X327,X15,8
X150,X150,1
X803,X150,5
X151,X151,1
X632,X151,1
X152,X152,1
X221,X152,3
X153,X153,1
X845,X153,6
X154,X154,1
X719,X154,2
X155,X155,1
X357,X155,8
X156,X156,1
X568,X156,4
X157,X157,1
X877,X157,10
X158,X158,1
X692,X158,4
X159,X159,1
X915,X159,10
X16,X16,1
X443,X16,4
X160,X160,1
X255,X160,10
X161,X161,1
X88,X161,6
X162,X162,1
X749,X162,8
X163,X163,1
X799,X163,7
X164,X164,1
X261,X164,8
X165,X165,1
X344,X165,1
X166,X166,1
X293,X166,3
X167,X167,1
X880,X167,6
X168,X168,1
X705,X168,5
X169,X169,1
X643,X169,6
X17,X17,1
X873,X17,3
X170,X170,1
X896,X170,10
X171,X171,1
X496,X171,3
X172,X172,1
X602,X172,6
X173,X173,1
X895,X173,1
X174,X174,1
X441,X174,1
X175,X175,1
X603,X175,5
X176,X176,1
X487,X176,10
X177,X177,1
X154,X177,5
X178,X178,1
X943,X178,1
X179,X179,1
X507,X179,1
X18,X18,1
X29,X18,2
X180,X180,1
X571,X180,7
X181,X181,1
X614,X181,9
X182,X182,1
X551,X182,1
X183,X183,1
X833,X183,5
X184,X184,1
X565,X184,10
X185,X185,1
X834,X185,6
X186,X186,1
X445,X186,1
X187,X187,1
X526,X187,3
X188,X188,1
X142,X188,7
X189,X189,1
X822,X189,2
X19,X19,1
X84,X19,5
X190,X190,1
X13,X190,9
X191,X191,1
X71,X191,2
X192,X192,1
X176,X192,1
X193,X193,1
X253,X193,3
X194,X194,1
X208,X194,9
X195,X195,1
X163,X195,2
X196,X196,1
X903,X196,2
X197,X197,1
X577,X197,7
X198,X198,1
X360,X198,10
X199,X199,1
X261,X199,1
X2,X2,1
X732,X2,3
X20,X20,1
X956,X20,1
X200,X200,1
X340,X200,1
X201,X201,1
X635,X201,1
X202,X202,1
X101,X202,9
X203,X203,1
X844,X203,3
X204,X204,1
X224,X204,4
X205,X205,1
X38,X205,8
X206,X206,1
X821,X206,5
X207,X207,1
X219,X207,4
X208,X208,1
X819,X208,1
X209,X209,1
X131,X209,6
X21,X21,1
X712,X21,8
X210,X210,1
X746,X210,3
X211,X211,1
X621,X211,8
X212,X212,1
X714,X212,9
X213,X213,1
X51,X213,1
X214,X214,1
X871,X214,1
X215,X215,1
X545,X215,1
X216,X216,1
X704,X216,7
X217,X217,1
X419,X217,5
X218,X218,1
X307,X218,6
X219,X219,1
X973,X219,2
X22,X22,1
X86,X22,3
X220,X220,1
X878,X220,5
X221,X221,1
X616,X221,7
X222,X222,1
X683,X222,8
X223,X223,1
X854,X223,10
X224,X224,1
X454,X224,3
X225,X225,1
X213,X225,2
X226,X226,1
X824,X226,7
X227,X227,1
X40,X227,1
X228,X228,1
X448,X228,4
X229,X229,1
X502,X229,1
X23,X23,1
X49,X23,2
X230,X230,1
X528,X230,3
X231,X231,1
X543,X231,8
X232,X232,1
X493,X232,9
X233,X233,1
X415,X233,2
X234,X234,1
X90,X234,4
X235,X235,1
X393,X235,7
X236,X236,1
X982,X236,9
X237,X237,1
X98,X237,8
X238,X238,1
X369,X238,6
X239,X239,1
X574,X239,9
X24,X24,1
X197,X24,10
X240,X240,1
X372,X240,1
X241,X241,1
X861,X241,10
X242,X242,1
X751,X242,4
X243,X243,1
X723,X243,10
X244,X244,1
X44,X244,9
X245,X245,1
X493,X245,2
X246,X246,1
X346,X246,10
X247,X247,1
X368,X247,4
X248,X248,1
X129,X248,6
X249,X249,1
X931,X249,1
X25,X25,1
X541,X25,10
X250,X250,1
X752,X250,1
X251,X251,1
X879,X251,1
X252,X252,1
X222,X252,3
X253,X253,1
X660,X253,8
X254,X254,1
X900,X254,1
X255,X255,1
X426,X255,3
X256,X256,1
X406,X256,3
X257,X257,1
X992,X257,8
X258,X258,1
X211,X258,9
X259,X259,1
X784,X259,9
X26,X26,1
X415,X26,4
X260,X260,1
X241,X260,4
X261,X261,1
X657,X261,2
X262,X262,1
X294,X262,8
X263,X263,1
X280,X263,1
X264,X264,1
X132,X264,7
X265,X265,1
X535,X265,8
X266,X266,1
X404,X266,1
X267,X267,1
X342,X267,6
X268,X268,1
X738,X268,1
X269,X269,1
X992,X269,7
X27,X27,1
X733,X27,9
X270,X270,1
X882,X270,5
X271,X271,1
X278,X271,3
X272,X272,1
X815,X272,2
X273,X273,1
X147,X273,10
X274,X274,1
X965,X274,1
X275,X275,1
X380,X275,1
X276,X276,1
X664,X276,2
X277,X277,1
X886,X277,2
X278,X278,1
X42,X278,5
X279,X279,1
X376,X279,3
X28,X28,1
X494,X28,2
X280,X280,1
X754,X280,8
X281,X281,1
X133,X281,9
X282,X282,1
X762,X282,9
X283,X283,1
X375,X283,1
X284,X284,1
X170,X284,5
X285,X285,1
X637,X285,2
X286,X286,1
X669,X286,1
X287,X287,1
X469,X287,10
X288,X288,1
X716,X288,9
X289,X289,1
X991,X289,3
X29,X29,1
X531,X29,5
X290,X290,1
X905,X290,7
X291,X291,1
X60,X291,5
X292,X292,1
X317,X292,5
X293,X293,1
X267,X293,5
X294,X294,1
X633,X294,6
X295,X295,1
X3,X295,10
X296,X296,1
X14,X296,9
X297,X297,1
X155,X297,7
X298,X298,1
X123,X298,5
X299,X299,1
X953,X299,6
X3,X3,1
X681,X3,1
X30,X30,1
X491,X30,3
X300,X300,1
X608,X300,6
X301,X301,1
X305,X301,9
X302,X302,1
X258,X302,10
X303,X303,1
X824,X303,1
X304,X304,1
X489,X304,10
X305,X305,1
X562,X305,6
X306,X306,1
X78,X306,8
X307,X307,1
X227,X307,3
X308,X308,1
X273,X308,1
X309,X309,1
X873,X309,1
X31,X31,1
X761,X31,8
X310,X310,1
X778,X310,4
X311,X311,1
X18,X311,9
X312,X312,1
X146,X312,9
X313,X313,1
X572,X313,2
X314,X314,1
X820,X314,4
X315,X315,1
X259,X315,1
X316,X316,1
X648,X316,8
X317,X317,1
X993,X317,10
X318,X318,1
X793,X318,5
X319,X319,1
X677,X319,3
X32,X32,1
X435,X32,5
X320,X320,1
X849,X320,2
X321,X321,1
X810,X321,1
X322,X322,1
X850,X322,1
X323,X323,1
X171,X323,5
X324,X324,1
X872,X324,6
X325,X325,1
X899,X325,2
X326,X326,1
X225,X326,5
X327,X327,1
X28,X327,1
X328,X328,1
X617,X328,8
X329,X329,1
X813,X329,3
X33,X33,1
X288,X33,7
X330,X330,1
X575,X330,1
X331,X331,1
X171,X331,4
X332,X332,1
X327,X332,2
X333,X333,1
X69,X333,1
X334,X334,1
X373,X334,5
X335,X335,1
X486,X335,4
X336,X336,1
X823,X336,6
X337,X337,1
X335,X337,1
X338,X338,1
X186,X338,8
X339,X339,1
X801,X339,2
X34,X34,1
X579,X34,5
X340,X340,1
X329,X340,10
X341,X341,1
X611,X341,5
X342,X342,1
X117,X342,6
X343,X343,1
X514,X343,7
X344,X344,1
X999,X344,4
X345,X345,1
X145,X345,5
X346,X346,1
X932,X346,8
X347,X347,1
X112,X347,3
X348,X348,1
X379,X348,10
X349,X349,1
X861,X349,6
X35,X35,1
X72,X35,5
X350,X350,1
X360,X350,7
X351,X351,1
X565,X351,5
X352,X352,1
X698,X352,9
X353,X353,1
X88,X353,2
X354,X354,1
X831,X354,5
X355,X355,1
X297,X355,9
X356,X356,1
X434,X356,6
X357,X357,1
X624,X357,7
X358,X358,1
X278,X358,1
X359,X359,1
X510,X359,9
X36,X36,1
X847,X36,5
X360,X360,1
X996,X360,7
X361,X361,1
X35,X361,4
X362,X362,1
X659,X362,6
X363,X363,1
X134,X363,6
X364,X364,1
X349,X364,7
X365,X365,1
X960,X365,5
X366,X366,1
X103,X366,9
X367,X367,1
X56,X367,4
X368,X368,1
X23,X368,5
X369,X369,1
X382,X369,6
X37,X37,1
X430,X37,4
X370,X370,1
X716,X370,2
X371,X371,1
X944,X371,4
X372,X372,1
X432,X372,3
X373,X373,1
X499,X373,5
X374,X374,1
X192,X374,4
X375,X375,1
X527,X375,4
X376,X376,1
X290,X376,4
X377,X377,1
X143,X377,7
X378,X378,1
X7,X378,8
X379,X379,1
X869,X379,7
X38,X38,1
X350,X38,3
X380,X380,1
X97,X380,2
X381,X381,1
X298,X381,8
X382,X382,1
X652,X382,6
X383,X383,1
X932,X383,3
X384,X384,1
X59,X384,8
X385,X385,1
X540,X385,2
X386,X386,1
X64,X386,4
X387,X387,1
X178,X387,7
X388,X388,1
X411,X388,2
X389,X389,1
X302,X389,4
X39,X39,1
X189,X39,8
X390,X390,1
X392,X390,3
X391,X391,1
X775,X391,8
X392,X392,1
X829,X392,7
X393,X393,1
X440,X393,3
X394,X394,1
X218,X394,6
X395,X395,1
X184,X395,9
X396,X396,1
X498,X396,8
X397,X397,1
X853,X397,8
X398,X398,1
X189,X398,7
X399,X399,1
X966,X399,8
X4,X4,1
X851,X4,2
X40,X40,1
X383,X40,2
X400,X400,1
X676,X400,2
X401,X401,1
X477,X401,1
X402,X402,1
X843,X402,8
X403,X403,1
X139,X403,6
X404,X404,1
X126,X404,4
X405,X405,1
X500,X405,10
X406,X406,1
X470,X406,4
X407,X407,1
X180,X407,6
X408,X408,1
X791,X408,9
X409,X409,1
X232,X409,2
X41,X41,1
X402,X41,1
X410,X410,1
X847,X410,4
X411,X411,1
X790,X411,4
X412,X412,1
X739,X412,6
X413,X413,1
X928,X413,1
X414,X414,1
X673,X414,9
X415,X415,1
X220,X415,7
X416,X416,1
X25,X416,7
X417,X417,1
X386,X417,1
X418,X418,1
X451,X418,3
X419,X419,1
X451,X419,2
X42,X42,1
X287,X42,6
X420,X420,1
X700,X420,10
X421,X421,1
X569,X421,4
X422,X422,1
X281,X422,7
X423,X423,1
X977,X423,4
X424,X424,1
X569,X424,3
X425,X425,1
X399,X425,5
X426,X426,1
X713,X426,2
X427,X427,1
X437,X427,4
X428,X428,1
X37,X428,4
X429,X429,1
X867,X429,10
X43,X43,1
X343,X43,9
X430,X430,1
X238,X430,8
X431,X431,1
X361,X431,10
X432,X432,1
X428,X432,9
X433,X433,1
X416,X433,8
X434,X434,1
X132,X434,4
X435,X435,1
X856,X435,10
X436,X436,1
X117,X436,2
X437,X437,1
X425,X437,7
X438,X438,1
X856,X438,5
X439,X439,1
X692,X439,3
X44,X44,1
X286,X44,5
X440,X440,1
X892,X440,7
X441,X441,1
X659,X441,3
X442,X442,1
X791,X442,7
X443,X443,1
X764,X443,1
X444,X444,1
X645,X444,3
X445,X445,1
X10,X445,3
X446,X446,1
X984,X446,7
X447,X447,1
X712,X447,6
X448,X448,1
X203,X448,1
X449,X449,1
X76,X449,8
X45,X45,1
X446,X45,4
X450,X450,1
X898,X450,8
X451,X451,1
X122,X451,2
X452,X452,1
X443,X452,3
X453,X453,1
X27,X453,3
X454,X454,1
X501,X454,3
X455,X455,1
X561,X455,5
X456,X456,1
X630,X456,2
X457,X457,1
X805,X457,5
